id,values
721,-6.2
722,-7.5
723,-7.7
724,-7.8
725,-8.0
726,-8.1
727,10.7
728,-8.5
729,-8.1
730,-6.9
731,-6.5
732,-4.8
733,14.7
734,-3.8
735,-3.4
736,-3.4
737,-4.2
738,-5.7
739,-6.6
740,-7.4
741,11.7
742,12.3
743,-7.2
744,-7.4
745,11.9
746,-8.2
747,-7.8
748,-7.8
749,11.5
750,-8.3
751,-7.8
752,-7.5
753,-5.7
754,-4.0
755,-2.6
756,-1.5
757,-0.9
758,-0.3
759,-0.2
760,-0.3
761,-1.1
762,-3.1
763,-4.3
764,15.0
765,-4.3
766,-3.7
767,15.5
768,-3.9
769,-3.6
770,-3.4
771,-2.9
772,-2.6
773,-3.0
774,-3.8
775,16.0
776,-3.0
777,-2.7
778,-1.7
779,18.2
780,-0.3
781,-0.6
782,-1.5
783,-1.4
784,-1.9
785,-3.3
786,-3.4
787,-3.3
788,-3.4
789,15.9
790,-3.2
791,-3.4
792,-3.3
793,16.2
794,-3.1
795,-3.2
796,-3.3
797,-3.5
798,-3.5
799,-3.6
800,-3.4
801,-3.1
802,-2.4
803,-2.5
804,16.8
805,-2.3
806,16.6
807,-3.4
808,-3.4
809,-3.7
810,-4.0
811,-4.4
812,-5.0
813,-5.3
814,-5.6
815,13.5
816,-6.3
817,-7.0
818,-7.0
819,-7.1
820,-8.0
821,-9.1
822,-9.6
823,-8.5
824,-8.3
825,11.8
826,-6.3
827,-5.9
828,-5.7
829,-5.3
830,-4.9
831,-4.2
832,-4.0
833,13.6
834,-7.4
835,-7.9
836,-7.0
837,-7.4
838,-7.9
839,11.4
840,-7.5
841,11.5
842,-7.9
843,11.7
844,-7.2
845,-7.4
846,-7.3
847,-6.9
848,-7.2
849,-6.8
850,-4.6
851,-5.3
852,14.9
853,-4.5
854,-3.6
855,-3.4
856,-3.1
857,-3.8
858,-5.2
859,-5.8
860,-5.6
861,-5.4
862,-4.3
863,-3.9
864,-4.0
865,-4.0
866,14.8
867,-3.8
868,-4.3
869,-4.6
870,-5.1
871,-4.5
872,-4.0
873,-2.6
874,18.0
875,-1.2
876,-0.5
877,0.2
878,20.1
879,1.1
880,1.3
881,0.1
882,-1.9
883,16.8
884,-2.7
885,-2.2
886,-1.9
887,-2.0
888,-2.5
889,-2.8
890,-2.5
891,-2.8
892,16.0
893,16.3
894,-3.8
895,-3.5
896,-3.6
897,-1.9
898,-0.7
899,0.2
900,1.1
901,1.4
902,2.3
