,0
1064,-4.5
1065,7.3
1066,-3.5
1067,-3.1
1068,-3.1
1069,-3.2
1070,-3.5
1071,-3.8
1072,-3.5
1073,-3.0
1074,-3.3
1075,-3.1
1076,8.2
1077,-3.2
1078,-3.2
1079,-3.4
1080,-3.3
1081,-3.3
1082,-3.2
1083,-3.1
1084,-1.1
1085,10.7
1086,-0.6
1087,-0.7
1088,-1.2
1089,-1.4
1090,-1.4
1091,-1.2
1092,-1.6
1093,-1.5
1094,-0.3
1095,-0.4
1096,-0.5
1097,11.1
1098,-0.3
1099,-0.2
1100,-0.2
1101,-0.3
1102,-0.2
1103,-0.1
1104,-0.1
1105,-0.2
1106,-0.3
1107,-0.5
1108,-0.6
1109,-0.5
1110,-0.7
1111,-0.9
1112,-1.3
1113,-1.6
1114,-1.6
1115,10.2
1116,-1.1
1117,-1.2
1118,-1.4
1119,-1.3
1120,-1.5
1121,-1.4
1122,-1.4
1123,-1.2
1124,-1.0
1125,-0.7
1126,11.0
1127,11.3
1128,11.4
1129,-0.3
1130,-0.5
1131,-1.4
1132,-1.8
1133,-1.9
1134,-2.1
1135,8.8
1136,8.5
1137,-2.7
1138,8.4
1139,8.2
1140,7.7
1141,-3.4
1142,-3.8
1143,7.5
1144,-3.0
1145,-2.5
1146,-2.2
1147,-2.1
1148,-2.2
1149,-1.6
1150,-1.2
1151,-1.4
1152,-1.7
1153,-1.6
1154,-1.8
1155,-1.9
1156,-1.7
1157,-1.9
1158,-2.0
1159,-2.2
1160,-2.1
1161,-2.1
1162,9.3
1163,9.5
1164,-1.7
1165,-1.1
1166,-0.6
1167,-0.2
1168,-0.7
1169,-1.0
1170,-0.9
1171,-2.0
1172,-2.6
1173,-2.8
1174,-2.3
1175,9.1
1176,-2.2
1177,-2.6
1178,-3.3
1179,-3.5
1180,7.3
1181,-4.7
1182,-5.3
1183,-5.0
1184,7.0
1185,7.4
1186,-3.6
1187,-3.9
1188,-3.6
1189,-3.4
1190,-3.6
1191,-3.8
1192,7.5
1193,-3.8
1194,-4.4
1195,-5.1
1196,5.4
1197,-5.6
1198,-2.9
1199,-1.7
1200,-1.8
1201,9.8
1202,-2.5
1203,-3.4
1204,7.1
1205,-5.6
1206,-7.2
1207,-7.7
1208,2.5
1209,-9.9
1210,-9.6
1211,-8.8
1212,-9.5
1213,-9.4
1214,1.1
1215,-10.6
1216,-9.4
1217,-9.7
1218,-9.7
1219,-9.3
1220,-11.2
1221,-10.8
1222,-10.3
1223,-9.8
1224,-8.8
1225,-7.9
1226,4.0
1227,-7.3
1228,-7.8
1229,-7.5
1230,3.3
1231,3.4
1232,-7.8
1233,-7.6
1234,-7.5
1235,-7.8
1236,-8.1
1237,-8.4
1238,3.1
1239,-8.7
1240,-8.9
1241,-8.8
1242,-9.3
1243,-10.2
1244,1.9
1245,1.2
1246,-10.7
1247,-10.2
1248,-10.7
1249,-10.7
1250,0.2
1251,-12.0
1252,-13.5
1253,-2.8
1254,-14.8
1255,-3.6
1256,-4.3
1257,-15.8
1258,-14.6
1259,-14.1
1260,-14.2
1261,-14.2
1262,-14.2
1263,-14.0
1264,-2.5
1265,-13.7
1266,-2.3
1267,-13.5
1268,-1.8
1269,-1.8
1270,-13.3
1271,-13.5
1272,-13.5
1273,-12.3
1274,-11.6
1275,-11.5
1276,-11.2
1277,-10.7
1278,-10.3
1279,1.3
1280,-9.9
1281,-9.7
1282,-9.2
1283,2.7
1284,-8.4
1285,2.9
1286,-7.9
1287,-7.9
1288,-8.2
1289,-8.4
1290,-8.8
1291,2.4
1292,1.7
1293,1.8
1294,-9.5
1295,-10.3
1296,-10.2
1297,-11.1
1298,-11.6
1299,-11.2
1300,-10.7
1301,-10.5
1302,-10.3
1303,-9.8
1304,-8.4
1305,-6.4
1306,5.8
1307,-6.6
1308,-9.5
1309,-10.1
1310,-10.3
1311,-10.0
1312,-10.4
1313,-10.0
1314,-9.9
1315,-11.0
1316,-11.3
1317,-11.3
1318,-11.1
1319,-10.7
1320,-10.7
1321,-10.8
1322,0.5
1323,-11.0
1324,-10.8
1325,-10.5
1326,-10.6
1327,1.2
1328,-9.9
1329,-9.7
1330,-9.6
1331,-9.8
1332,-9.7
1333,-9.7
1334,3.1
1335,-7.4
1336,-5.9
1337,-5.4
1338,-4.8
1339,-4.0
1340,7.2
1341,-4.0
1342,-4.2
1343,-4.5
1344,-4.8
1345,-5.6
1346,-6.5
1347,4.5
1348,4.6
1349,-6.1
1350,-6.2
1351,-6.2
1352,-6.1
1353,-6.0
1354,-6.0
1355,-5.8
1356,6.0
1357,-5.3
1358,-5.4
1359,-5.4
1360,-5.7
1361,-6.5
1362,-7.0
1363,-7.1
1364,-7.3
1365,-7.3
1366,-7.8
1367,-8.3
1368,2.4
1369,-9.0
1370,-8.8
1371,2.0
1372,2.4
1373,-9.1
1374,-9.4
1375,2.7
1376,3.1
1377,-8.5
1378,-8.6
1379,-7.6
1380,-7.4
1381,-7.2
1382,-6.6
1383,-6.4
1384,-6.3
1385,-6.1
1386,-6.6
1387,-7.7
1388,-8.8
1389,-8.6
1390,-8.9
1391,-8.6
1392,-8.8
1393,3.0
1394,-8.5
1395,-8.9
1396,2.5
1397,-9.9
1398,-9.5
1399,-9.7
1400,1.3
1401,-9.6
1402,-8.9
1403,-8.6
1404,-8.8
1405,-8.6
1406,3.1
1407,-8.4
1408,-8.0
1409,-8.3
1410,2.7
1411,-7.8
1412,-7.4
1413,-5.9
1414,7.4
1415,-4.3
1416,-3.7
1417,-2.7
1418,-0.4
1419,-0.5
1420,-0.4
1421,11.1
1422,0.6
1423,12.5
1424,11.8
1425,0.3
1426,0.7
1427,1.1
1428,12.2
1429,0.4
1430,0.9
1431,2.0
1432,2.3
1433,14.0
1434,13.8
1435,2.6
1436,2.8
1437,2.8
1438,2.7
1439,14.1
1440,13.6
1441,2.0
1442,1.6
1443,12.6
1444,1.0
1445,1.2
1446,12.6
1447,0.1
1448,0.7
1449,12.3
1450,1.4
1451,1.3
1452,1.8
1453,2.0
1454,13.8
1455,2.8
1456,2.0
1457,1.6
1458,13.3
1459,1.8
1460,1.9
1461,1.8
1462,1.8
1463,1.6
1464,2.1
1465,2.1
1466,2.1
1467,1.9
1468,1.3
1469,12.5
1470,0.5
1471,-0.6
1472,-1.5
1473,-1.4
1474,-1.1
1475,-2.5
1476,10.3
1477,3.6
1478,0.7
1479,-0.6
1480,1.1
1481,-1.1
1482,10.9
1483,-1.1
1484,9.4
1485,-2.2
1486,-2.0
1487,-1.9
1488,-1.5
1489,-0.8
1490,0.0
1491,0.4
1492,11.7
1493,11.8
1494,0.6
1495,0.2
1496,-0.1
1497,0.0
1498,0.0
1499,0.0
1500,0.3
1501,11.6
1502,0.3
1503,0.2
1504,11.4
1505,0.1
1506,0.3
1507,0.3
1508,0.4
1509,0.2
1510,11.2
1511,-0.1
1512,0.1
1513,0.0
1514,0.0
1515,0.1
1516,0.2
1517,-0.1
1518,-0.1
1519,-0.5
1520,10.9
1521,-0.6
1522,-0.5
1523,-0.3
1524,-0.3
1525,11.2
1526,0.0
1527,-0.6
1528,-0.7
1529,-0.6
1530,-0.3
1531,0.1
1532,-0.2
1533,0.0
1534,11.0
1535,0.0
1536,-0.3
1537,-1.1
1538,-1.1
1539,-0.9
1540,-1.1
1541,-1.6
1542,-1.6
1543,-1.8
1544,-1.4
1545,-1.1
1546,-0.9
1547,-0.2
1548,-0.1
1549,-0.3
1550,-0.9
1551,-0.9
1552,10.3
1553,10.1
1554,9.9
1555,-1.0
1556,-0.7
1557,-0.7
1558,-0.7
1559,-0.8
1560,0.3
1561,-0.5
1562,-1.0
1563,-1.2
1564,-1.2
1565,0.3
1566,12.3
1567,0.4
1568,10.9
1569,11.7
1570,0.9
1571,1.1
1572,2.0
1573,0.9
1574,1.1
1575,0.3
1576,11.7
1577,0.1
1578,1.4
1579,2.0
1580,13.6
1581,2.5
1582,2.7
1583,2.5
1584,2.0
1585,1.7
1586,1.0
1587,0.8
1588,11.8
1589,0.5
1590,0.7
1591,0.6
1592,0.4
1593,0.0
1594,0.4
1595,11.5
1596,1.0
1597,2.1
1598,2.1
1599,13.1
1600,13.4
1601,12.8
1602,0.1
1603,11.6
1604,0.2
1605,0.0
1606,0.1
1607,-0.1
1608,-0.5
1609,-0.3
1610,-0.2
1611,10.6
1612,-1.5
1613,-2.2
1614,-3.4
1615,-3.7
1616,-3.3
1617,-3.1
1618,9.0
1619,-1.8
1620,-1.6
1621,-1.5
1622,-1.8
1623,-3.0
1624,-4.3
1625,-4.2
1626,-4.1
1627,-4.6
1628,-4.6
1629,-4.1
1630,-4.6
1631,6.5
1632,-4.6
1633,-4.3
1634,-4.5
1635,-4.5
1636,-4.5
1637,-4.5
1638,-4.6
1639,-4.9
1640,-5.2
1641,-5.2
1642,6.3
1643,6.3
1644,-5.0
1645,-5.0
1646,-5.2
1647,-5.2
1648,5.2
1649,-6.1
1650,-6.2
1651,-6.9
1652,-6.9
1653,-7.2
1654,-7.9
1655,-7.7
1656,-7.7
1657,-8.1
1658,-8.4
1659,3.3
1660,3.5
1661,-8.6
1662,-8.9
1663,2.0
1664,-9.4
1665,-9.1
1666,-8.3
1667,-7.1
1668,-5.6
1669,-5.6
1670,-5.9
1671,-5.9
1672,-6.0
1673,-5.2
1674,-5.1
1675,-5.7
1676,-6.0
1677,5.4
1678,-6.2
1679,5.0
1680,-6.0
1681,-6.2
1682,4.9
1683,-5.6
1684,5.9
1685,-4.8
1686,7.0
1687,-4.6
1688,-5.5
1689,5.8
1690,-5.1
1691,-4.0
1692,7.4
1693,-3.7
1694,-3.1
1695,8.2
1696,-3.1
1697,8.3
1698,-3.1
1699,8.2
1700,-2.9
1701,-2.8
1702,-3.0
1703,-3.1
1704,-3.4
1705,-3.8
1706,-3.9
1707,-4.0
1708,-4.2
1709,-4.6
1710,-4.0
1711,7.7
1712,-3.7
1713,-3.8
1714,-3.5
1715,-2.7
1716,-2.9
1717,-2.5
1718,-2.9
1719,-3.3
1720,7.8
1721,-4.8
1722,-5.4
1723,-5.7
1724,-6.0
1725,-6.6
1726,5.0
1727,-5.7
1728,-5.0
1729,-5.3
1730,-6.0
1731,-4.8
