,0
1369,-7.3
1370,-7.1
1371,-7.6
1372,-7.4
1373,-7.4
1374,-7.7
1375,12.3
1376,-6.5
1377,-4.7
1378,-2.6
1379,-0.6
1380,-0.8
1381,-0.6
1382,-1.1
1383,18.4
1384,-1.6
1385,-2.9
1386,-4.1
1387,-4.5
1388,-4.0
1389,-3.4
1390,-2.4
1391,-2.5
1392,16.8
1393,-4.0
1394,-4.4
1395,-3.0
1396,16.0
1397,0.3
1398,1.1
1399,0.9
1400,2.7
1401,3.2
1402,4.0
1403,4.9
1404,24.4
1405,5.7
1406,5.8
1407,5.5
1408,5.7
1409,4.8
1410,24.1
1411,4.7
1412,4.4
1413,4.5
1414,4.9
1415,5.0
1416,4.9
1417,4.2
1418,3.8
1419,4.4
1420,4.7
1421,4.4
1422,3.5
1423,2.8
1424,2.9
1425,2.7
1426,2.0
1427,22.4
1428,22.8
1429,4.3
1430,3.2
1431,2.9
1432,2.9
1433,3.0
1434,22.1
1435,22.0
1436,2.8
1437,2.8
1438,3.0
1439,2.9
1440,2.7
1441,2.4
1442,21.5
1443,2.3
1444,2.3
1445,2.1
1446,1.6
1447,3.0
1448,2.2
1449,1.9
1450,2.1
1451,2.9
1452,22.3
1453,22.2
1454,2.9
1455,2.9
1456,22.2
1457,2.5
1458,2.1
1459,21.1
1460,1.9
1461,2.2
1462,2.5
1463,3.1
1464,22.1
1465,2.4
1466,21.4
1467,1.9
1468,21.8
1469,3.0
1470,3.4
1471,3.5
1472,4.5
1473,24.6
1474,6.2
1475,6.6
1476,7.6
1477,7.0
1478,7.5
1479,7.5
1480,25.3
1481,4.8
1482,3.5
1483,23.0
1484,3.6
1485,3.2
1486,22.1
1487,2.6
1488,22.1
1489,3.7
1490,2.9
1491,2.5
1492,2.2
1493,2.0
1494,1.7
1495,1.8
1496,2.0
1497,21.4
1498,3.3
1499,3.5
1500,4.0
1501,23.4
1502,5.1
1503,5.0
1504,4.5
1505,4.3
1506,3.8
1507,22.9
1508,22.8
1509,3.3
1510,3.3
1511,3.7
1512,3.6
1513,3.5
1514,3.3
1515,22.3
1516,22.1
1517,2.7
1518,21.7
1519,2.0
1520,21.4
1521,2.1
1522,2.3
1523,3.1
1524,4.3
1525,5.5
1526,5.6
1527,5.4
1528,5.2
1529,4.9
1530,3.5
1531,21.2
1532,21.5
1533,0.3
1534,-0.3
1535,0.0
1536,-0.2
1537,-1.1
1538,-1.1
1539,-0.5
1540,18.5
1541,-1.2
1542,0.1
1543,0.2
1544,0.7
1545,0.8
1546,1.7
1547,2.0
1548,2.0
1549,1.3
1550,20.5
1551,1.4
1552,1.3
1553,1.5
1554,1.3
1555,20.4
1556,1.5
1557,1.4
1558,1.6
1559,3.3
1560,5.5
1561,4.6
1562,25.3
1563,7.0
1564,7.3
1565,6.6
1566,6.0
1567,6.5
1568,25.3
1569,7.0
1570,8.0
1571,7.2
1572,6.7
1573,8.7
1574,9.7
1575,9.1
1576,8.2
1577,26.9
1578,7.1
1579,6.7
1580,6.8
1581,6.8
1582,6.8
1583,6.6
1584,6.5
1585,6.2
1586,25.4
1587,5.6
1588,5.5
1589,5.9
1590,25.2
1591,6.0
1592,6.1
1593,6.3
1594,26.0
1595,6.5
1596,5.7
1597,4.7
1598,5.3
1599,5.5
1600,4.4
1601,2.8
1602,0.3
1603,0.6
1604,0.5
1605,0.3
1606,0.4
1607,0.7
1608,0.9
1609,0.5
1610,0.2
1611,19.5
1612,-0.4
1613,-1.6
1614,-1.2
1615,-0.7
1616,-1.8
1617,-1.9
1618,18.5
