14.2,0.39,632.0,6.0,0.0,6.0,282.2
21.2,0.45,683.0,1.5,0.0,5.7,281.2
20.6,0.49,715.0,2.2,0.0,5.5,278.0
12.1,0.54,762.0,3.1,0.0,9.5,289.7
11.9,0.58,808.0,9.4,0.0,8.0,282.0
11.9,0.6,836.0,4.4,39.0,11.3,278.3
11.9,0.6,836.0,10.0,75.0,5.3,280.7
11.8,0.62,858.0,4.8,101.0,8.1,299.0
20.3,0.61,873.0,5.0,214.0,2.6,318.3
21.2,0.57,865.0,4.9,349.0,3.8,275.8
14.2,0.53,858.0,4.8,395.0,3.1,490.9
15.4,0.49,1183.7,4.8,514.0,3.8,265.5
15.8,0.47,844.0,4.5,417.0,3.5,247.0
16.0,0.46,836.0,4.4,271.0,7.1,273.8
15.4,0.47,822.0,4.2,137.0,3.6,0.8
13.3,0.57,871.0,10.6,48.0,2.2,36.9
12.0,0.9,870.0,5.0,1.0,0.8,319.2
10.8,0.66,855.0,4.7,0.0,1.3,434.9
10.6,0.67,856.0,4.7,0.0,5.6,251.5
9.9,0.66,1136.7,3.9,0.0,2.2,267.0
9.8,0.66,800.0,9.5,0.0,1.4,279.0
11.0,0.63,827.0,4.2,483.9,1.7,251.9
11.1,0.62,819.0,9.9,0.0,1.3,247.3
10.9,0.6,782.0,3.4,0.0,1.8,445.0
10.8,0.62,803.0,3.8,0.0,3.2,252.1
10.8,0.62,803.0,3.8,0.0,3.8,257.1
10.7,0.6,772.0,3.3,0.0,3.5,252.7
10.8,0.57,738.0,2.6,0.0,2.9,227.8
10.8,0.48,622.0,6.1,1.0,3.0,240.5
11.9,0.7,529.0,-1.7,61.0,2.9,263.5
13.0,0.35,524.0,-1.9,709.0,4.6,252.5
14.6,0.33,883.7,-1.3,367.0,6.2,244.9
16.5,0.3,563.0,-1.0,613.0,5.8,197.7
17.8,0.3,611.0,0.0,660.0,4.6,222.0
18.7,0.31,669.0,7.1,701.0,5.4,256.2
28.3,0.29,691.0,1.7,674.0,5.9,250.8
20.8,0.25,614.0,0.1,586.0,7.3,491.7
29.4,0.24,604.0,-0.1,447.0,6.3,251.3
21.0,0.22,547.0,-1.3,278.0,8.5,274.5
20.1,0.24,565.0,-0.9,79.0,6.5,235.3
18.9,0.26,902.6,-0.9,1.0,5.0,244.2
17.8,0.28,571.0,-0.8,0.0,9.2,246.2
16.9,0.28,539.0,-1.5,0.0,6.0,275.2
15.8,0.29,521.0,-1.9,490.4,6.9,272.3
14.5,0.29,479.0,-2.9,0.0,6.9,284.7
12.6,0.35,511.0,-2.1,491.4,2.3,206.7
10.7,0.43,553.0,4.7,0.0,1.3,221.6
9.1,0.54,624.0,0.3,0.0,1.5,471.7
7.5,0.61,965.8,0.5,0.0,1.8,271.1
6.5,1.0,668.0,1.2,0.0,1.9,298.8
6.5,0.71,687.0,1.6,0.0,1.9,349.0
5.0,1.1,663.0,1.1,0.0,2.8,294.3
4.2,1.1,652.0,0.9,0.0,1.8,302.4
